chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,file,file_filetype,file_list,file_list_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.adv.alignments,parameters.adv.header,parameters.adv.matepairDist,parameters.adv.minMapq,parameters.adv.primary,parameters.adv.region,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.accession,parameters.input.file.values,parameters.input.file_list.values,parameters.input.input_select,parameters.outputformat,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-02-22 10:53:47.278613,slurm_normal,1487760843.0,0,,,,,1.0,main_w3_handler0,3005321,15105468,False,,9260470.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,0,yes,chr11:113845797-113861035,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1596696,,,accession_number,"""sam""",32.0,,36214266,1487760835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-02-22 10:54:06.392101,99759.0,8.0
,,2017-03-20 20:12:51.795082,slurm_normal,1490044149.0,0,,,,,1.0,main_w3_handler0,3038913,15347129,False,,9486640.roundup,slurm,,132112168.0,corral-repl,,aligned,yes,,,no,NC_002945.3,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR974685,,,accession_number,"""bam""",32.0,,36727380,1490040775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-03-20 21:09:14.468975,,3374.0
,,2017-01-13 00:00:07.419455,slurm_normal,1484265988.0,0,,,,,1.0,main_w4_handler1,2954801,14754962,False,,8919792.roundup,slurm,,132111800.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,ERR034676,,,accession_number,"""bam""",32.0,,34969792,1484265635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 00:06:33.323293,94580.0,353.0
,,2017-01-12 23:28:18.767762,slurm_normal,1484264648.0,0,,,,,1.0,main_w4_handler1,2954801,14754833,False,,8919661.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1027171,,,accession_number,"""bam""",32.0,,34969792,1484263749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-12 23:44:09.915180,94580.0,899.0
,,2017-01-12 23:42:21.378599,slurm_normal,1484265912.0,0,,,,,1.0,main_w4_handler1,2954801,14754878,False,,8919715.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1027183,,,accession_number,"""bam""",32.0,,34969792,1484264569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 00:05:15.026198,94580.0,1343.0
,,2017-01-12 23:53:07.654710,slurm_normal,1484266169.0,0,,,,,1.0,main_w3_handler0,2954801,14754911,False,,8919755.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1027188,,,accession_number,"""bam""",32.0,,34969792,1484265214.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 00:09:33.086048,94580.0,955.0
,,2017-01-12 23:40:17.663735,slurm_normal,1484265900.0,0,,,,,1.0,main_w4_handler0,2954801,14754873,False,,8919712.roundup,slurm,,132111800.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR1027177,,,accession_number,"""bam""",32.0,,34969792,1484264473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 00:05:03.725398,94580.0,1427.0
,,2017-01-13 02:37:20.386923,slurm_normal,1484275918.0,0,,,,,1.0,main_w4_handler1,2953125,14755721,False,,8920364.roundup,slurm,,132112168.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR925695,,,accession_number,"""bam""",32.0,,35358721,1484275091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 02:52:00.334779,94580.0,827.0
,,2017-01-13 20:11:29.922650,slurm_normal,1484338604.0,0,,,,,1.0,main_w4_handler1,2952170,14763526,False,,8927617.roundup,slurm,,132111800.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR331154,,,accession_number,"""bam""",32.0,,34485685,1484338387.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 20:16:47.049317,54241.0,217.0
,,2017-01-13 20:27:15.747333,slurm_normal,1484339532.0,0,,,,,1.0,main_w3_handler1,2952170,14763654,False,,8927734.roundup,slurm,,132111800.0,corral-repl,,both,yes,,,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,SRR331159,,,accession_number,"""bam""",32.0,,34485685,1484339276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/sra_tools/sam_dump/2.8.0,2.8.0,,2017-01-13 20:32:13.730871,54241.0,256.0
