create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.CN,parameters.DS,parameters.DT,parameters.PI,parameters.PL,parameters.PU,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.inputFile|__identifier__,parameters.read_group_id_conditional.ID,parameters.read_group_id_conditional.__current_case__,parameters.read_group_id_conditional.do_auto_name,parameters.read_group_lb_conditional.LB,parameters.read_group_lb_conditional.__current_case__,parameters.read_group_lb_conditional.do_auto_name,parameters.read_group_sm_conditional.SM,parameters.read_group_sm_conditional.__current_case__,parameters.read_group_sm_conditional.do_auto_name,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-03 12:43:39.011003,slurm_normal,1496493838.0,0,,1.0,main_w3_handler0,3138544,16004998,False,,10509669,bam,10098677.roundup,slurm,,132112168.0,corral-repl,,"""Coursework Coursera Galaxy Project""","""DNA polymorphism coursework""","""2017-06-02""","""""","""ILLUMINA""","""NA-Series""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29874878}]",,NA12880,1,false,DNA Polymorphism ,1,false,Targeted Re-sequencing Child,1,false,"""STRICT""",32.0,,38369784.0,1496493830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 12:44:01.378696,106310.0,8.0
2017-06-03 12:40:29.880636,slurm_normal,1496493651.0,0,,1.0,main_w4_handler1,3138544,16004883,False,,13484322,bam,10098672.roundup,slurm,,132112168.0,corral-repl,,"""Coursework Coursera Galaxy Project""","""DNA polymorphism coursework""","""2017-06-02""","""""","""ILLUMINA""","""NA-Series""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29874816}]",,NA12877,1,false,DNA Polymorphism ,1,false,Targeted Re-sequencing Father,1,false,"""STRICT""",32.0,,38369784.0,1496493643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 12:40:55.593233,106310.0,8.0
2017-06-03 12:41:29.696441,slurm_normal,1496493725.0,0,,1.0,main_w3_handler0,3138544,16004885,False,,10217866,bam,10098675.roundup,slurm,,132112168.0,corral-repl,,"""Coursework Coursera Galaxy Project""","""DNA polymorphism coursework""","""2017-06-02""","""""","""ILLUMINA""","""NA-Series""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29874818}]",,NA12878,1,false,DNA Polymorphism ,1,false, Targeted Re-sequencing Mother,1,false,"""STRICT""",32.0,,38369784.0,1496493715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 12:42:06.740830,106310.0,10.0
2017-06-03 13:34:41.936817,slurm_normal,1496496908.0,0,,1.0,main_w3_handler0,3120021,16005114,False,,10270641,bam,10098790.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""""","""""","""ILLUMINA""","""Daughter""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29872272}]",,Daughter,1,false,Daughter,1,false,Daughter,1,false,"""LENIENT""",32.0,,38417926.0,1496496895.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 13:35:11.537098,105598.0,13.0
2017-06-03 14:22:48.406591,slurm_normal,1496499799.0,0,,1.0,main_w3_handler0,3138583,16005266,False,,13484321,bam,10098950.roundup,slurm,,132112168.0,corral-repl,,"""CW""","""NA12877""","""2017-06-02""","""125""","""ILLUMINA""","""X""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29875846}]",,NA12877,1,false,NA12877,1,false,NA12877,1,false,"""LENIENT""",32.0,,38418206.0,1496499784.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 14:23:22.395714,106310.0,15.0
2017-06-03 14:41:32.911567,slurm_normal,1496500916.0,0,,1.0,main_w4_handler1,3138583,16005349,False,,13868648,bam,10099037.roundup,slurm,,132112168.0,corral-repl,,"""CW""","""NA12878""","""2017-06-02""","""125""","""ILLUMINA""","""X-NA12878""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29876001}]",,NA12878,1,false,NA12878,1,false,NA12878,1,false,"""LENIENT""",32.0,,38418206.0,1496500907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 14:42:03.711512,106310.0,9.0
2017-06-03 16:22:35.830738,slurm_normal,1496506983.0,0,,1.0,main_w4_handler0,3131243,16005578,False,,10324220,bam,10099250.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""2017-06-03""","""0""","""ILLUMINA""","""Child""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29876718}]",,Child,1,false,Child,1,false,Child,1,false,"""LENIENT""",32.0,,38419120.0,1496506971.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 16:23:11.058049,105373.0,12.0
2017-06-03 14:49:25.405131,slurm_normal,1496501393.0,0,,1.0,main_w4_handler1,3138583,16005388,False,,13868578,bam,10099057.roundup,slurm,,132112168.0,corral-repl,,"""CW""","""NA12880""","""2017-06-02""","""125""","""ILLUMINA""","""X-NA12880""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29876193}]",,NA12880,1,false,NA12880,1,false,NA12880,1,false,"""LENIENT""",32.0,,38418206.0,1496501383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 14:49:59.570921,106310.0,10.0
2017-06-03 16:13:34.255347,slurm_normal,1496506443.0,0,,1.0,main_w3_handler1,3131243,16005566,False,,13652229,bam,10099236.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""2017-06-03""","""0""","""ILLUMINA""","""Father""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29876608}]",,Father,1,false,Father,1,false,Father,1,false,"""LENIENT""",32.0,,38419120.0,1496506427.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 16:14:05.116158,105373.0,16.0
2017-06-03 16:18:25.422746,slurm_normal,1496506726.0,0,,1.0,main_w3_handler1,3131243,16005574,False,,10351046,bam,10099243.roundup,slurm,,132112168.0,corral-repl,,"""""","""""","""2017-06-03""","""0""","""ILLUMINA""","""Mother""",,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29876692}]",,Mother,1,false,Mother,1,false,Mother,1,false,"""LENIENT""",32.0,,38419120.0,1496506715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddOrReplaceReadGroups/2.7.1.0,2.7.1.0,,2017-06-03 16:18:48.309214,105373.0,11.0
