chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_interval,input_interval_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam,parameters.input_bam.values,parameters.input_bam|__identifier__,parameters.slice_method.__current_case__,parameters.slice_method.input_interval.values,parameters.slice_method.refs,parameters.slice_method.regions,parameters.slice_method.slice_method_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-26 16:41:40.793621,slurm_normal,1498499018.0,0,,1.0,main_w4_handler0,3169275,16190355,False,,531055208,bam,593.0,bed,10266680.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30136697}]",,0,"[{'src': 'hda', 'id': 30162926}]",,,bed,32.0,,38665580.0,1498498990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-26 17:43:41.238158,102165.0,28.0
,,2017-06-02 20:43:27.358744,slurm_normal,1496436235.0,0,,1.0,main_w3_handler1,3137625,16002418,False,,374201705,bam,17.0,bed,10096549.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29870606}]",,0,"[{'src': 'hda', 'id': 29868472}]",,,bed,32.0,,38400484.0,1496436218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-02 20:43:59.712245,52608.0,17.0
,,2017-06-02 21:28:52.502419,slurm_normal,1496438965.0,0,,1.0,main_w4_handler1,3137470,16002594,False,,374201704,bam,17.0,bed,10096722.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29870936}]",,0,"[{'src': 'hda', 'id': 29870668}]",,,bed,32.0,,38397305.0,1496438945.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-02 21:29:29.580711,107050.0,20.0
,,2017-06-03 01:46:01.188574,slurm_normal,1496455103.0,0,,1.0,main_w4_handler0,3137986,16003485,False,,374201704,bam,17.0,bed,10097552.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29872395}]",,0,"[{'src': 'hda', 'id': 29872352}]",,,bed,32.0,,38407495.0,1496455071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 01:58:27.913450,107074.0,32.0
,,2017-06-03 01:39:48.781429,slurm_normal,1496455117.0,0,,1.0,main_w3_handler1,3138003,16003458,False,,374201704,bam,30.0,bed,10097553.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29872369}]",,0,"[{'src': 'hda', 'id': 29872376}]",,,bed,32.0,,38407716.0,1496455101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 01:58:38.986710,107075.0,16.0
,,2017-06-03 01:53:48.946847,slurm_normal,1496455202.0,0,,1.0,main_w3_handler1,3138049,16003508,False,,374201704,bam,17.0,bed,10097559.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29872661}]",,0,"[{'src': 'hda', 'id': 29872417}]",,,bed,32.0,,38408183.0,1496455185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 02:00:06.481069,85195.0,17.0
,,2017-06-03 02:11:14.194233,slurm_normal,1496456299.0,0,,1.0,main_w4_handler0,3138050,16003552,False,,374201704,bam,17.0,bed,10097596.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 29872724}]",,0,"[{'src': 'hda', 'id': 29872680}]",,,bed,32.0,,38408029.0,1496456283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 02:18:22.030550,105629.0,16.0
,,2017-06-03 02:02:27.372500,slurm_normal,1496460697.0,0,,1.0,main_w3_handler1,2366114,16003534,False,,8650671560,bam,87568.0,bed,10097698.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29872677}]",,0,"[{'src': 'hda', 'id': 29850114}]",,,bed,32.0,,38255036.0,1496460332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 03:31:39.363114,54181.0,365.0
,,2017-06-03 13:55:05.344190,slurm_normal,1496498290.0,0,,1.0,main_w4_handler0,2714516,16005191,False,,1944631417,bam,1059347.0,bed,10098874.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 26518622}]",,0,"[{'src': 'hda', 'id': 29788006}]",,,bed,32.0,,38418044.0,1496498188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 13:58:17.069931,84889.0,102.0
,,2017-06-03 13:45:55.497926,slurm_normal,1496497678.0,0,,1.0,main_w4_handler1,2714516,16005151,False,,2013296863,bam,1059347.0,bed,10098825.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 26518632}]",,0,"[{'src': 'hda', 'id': 29788006}]",,,bed,32.0,,38418044.0,1496497576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0.1,2.0.1,,2017-06-03 13:48:05.564562,84889.0,102.0
