bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles1_filetype,bamfiles2,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles.values,parameters.chromInfo,parameters.dbkey,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveRawCounts,parameters.output.showOutputSettings,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1241313924,1241313924,,,,,,,,,bam,1282994314.0,bam,,,,,,,,,,,,,,,bam,2016-09-07 23:40:18.093067,slurm_multi,1473291675.0,0,6.0,main_w3_handler2,2776915,13802429,False,,8022876,slurm,,132112168.0,corral-repl,,0,no,,,1,500,false,2.0,custom,200,false,1,100000,,,,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57fee23fde76e891d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54ff4474b57233f66'}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",1,png,false,yes,"""""",32.0,,31745742,1473291639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-07 23:41:17.968577,65128,36.0
1625910093,1625910093,,,,,,,,,bam,1300774959.0,bam,,,,,,,,,,,,,,,bam,2016-09-07 22:25:59.354855,slurm_multi,1473289450.0,0,6.0,main_w3_handler2,2813231,13801896,False,,8022534,slurm,,132112168.0,corral-repl,,0,no,,,0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b568da6b9596f6ecfc'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5625251dd31e3a1a4'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,32802909,1473289332.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-07 23:04:12.453079,85575,118.0
1241313924,1241313924,,,,,,,,,bam,1282994314.0,bam,,,,,,,,,,,,,,,bam,2016-09-07 22:52:56.391905,slurm_multi,1473288938.0,0,6.0,main_w3_handler2,2776915,13802052,False,,8022507,slurm,,132112168.0,corral-repl,,0,no,,,0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57fee23fde76e891d'}, {'src': 'hda', 'id': 'bbd44e69cb8906b54ff4474b57233f66'}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",0,,,no,"""""",32.0,,31745742,1473288795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-07 22:55:41.050019,65128,143.0
1289446594,1289446594,,,,,,,,,bam,1148126642.0,bam,,,,,,,,,,,,,,,bam,2016-09-07 23:05:09.391055,slurm_multi,1473289644.0,0,6.0,main_w3_handler2,2776915,13802114,False,,8022558,slurm,,132112168.0,corral-repl,,0,no,,,0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5369ff6544e204ff5'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5d4a232547e0f9a74'}]","""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""",0,,,no,"""""",32.0,,31745742,1473289532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-07 23:07:27.661676,65128,112.0
3544448717,3544448717,,,,,,,,,bam,2914364019.0,bam,3232998524.0,bam,,,,,,,,,,,,,bam,2016-09-08 22:51:09.062195,slurm_multi,1473382709.0,0,6.0,main_w4_handler2,2813231,13811905,False,,8033636,slurm,,132112168.0,corral-repl,,0,no,,"""ba649590761611e6811c005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5438228bf1f69e2b4'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5aa063be126d3dd9a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5733e681c36bc75b8'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,32800011,1473382375.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 00:58:31.271994,85575,334.0
1404181782,1404181782,,,,,,,,,bam,3277605060.0,bam,1759145278.0,bam,,,,,,,,,,,,,bam,2016-09-09 01:45:45.961144,slurm_multi,1473391148.0,0,6.0,main_w4_handler2,2813231,13812597,False,,8034054,slurm,,132112168.0,corral-repl,,0,no,,"""1ec9fa12762f11e6b7ee005056a51846""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5664bf104c6b9d58a'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5b54414f3f7e7e773'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5cc26102a8ca9d995'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,32830830,1473390869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 03:19:09.128675,85575,279.0
1979172056,1979172056,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-09-09 07:42:09.005622,slurm_multi,1473407096.0,0,6.0,main_w3_handler2,2755184,13813410,False,,8034741,slurm,,132112168.0,corral-repl,,0,no,,,0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5795987db7b8e73ba'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,31024500,1473406952.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 07:45:03.585633,60571,144.0
1505625753,1505625753,,,,,,,,,bam,,,,,,,,,,,,,,,,,bam,2016-09-09 07:45:51.448646,slurm_multi,1473407233.0,0,6.0,main_w3_handler2,2755184,13813484,False,,8034835,slurm,,132112168.0,corral-repl,,0,no,,,0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b587c7285d906dd0f7'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,31024500,1473407172.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 07:47:24.007357,60571,61.0
1057222976,1057222976,,,,,,,,,bam,1505625753.0,bam,1979172056.0,bam,,,,,,,,,,,,,bam,2016-09-09 07:46:45.463498,slurm_multi,1473407315.0,0,6.0,main_w4_handler2,2755184,13813487,False,,8034838,slurm,,132112168.0,corral-repl,,0,no,,,1,500,false,0.0,no,,true,1,100000,,,,yes,false,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51f096248622fd10f'}, {'src': 'hda', 'id': 'bbd44e69cb8906b587c7285d906dd0f7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5795987db7b8e73ba'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,png,false,yes,"""""",32.0,,31024500,1473407253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 07:48:38.428754,60571,62.0
1391911259,1391911259,,,,,,,,,bam,1108547734.0,bam,2615209772.0,bam,,,,,,,,,,,,,bam,2016-09-09 19:58:55.704397,slurm_multi,1473455254.0,0,6.0,main_w3_handler2,2815566,13818181,False,,8039985,slurm,,132112168.0,corral-repl,,0,no,,"""d50c84aa76c711e68766005056a52a46""",0,,,,,,,,,,,,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b572a0cbeece631680'}, {'src': 'hda', 'id': 'bbd44e69cb8906b52417c6e3aed6900c'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5678851d0809e1190'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,no,"""""",32.0,,32824215,1473454698.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.2.3.0,2.2.3.0,,2016-09-09 21:07:37.745279,85575,556.0
