JSDsample,JSDsample_filetype,bamfiles,bamfiles1,bamfiles10,bamfiles10_filetype,bamfiles11,bamfiles11_filetype,bamfiles12,bamfiles12_filetype,bamfiles13,bamfiles13_filetype,bamfiles14,bamfiles14_filetype,bamfiles15,bamfiles15_filetype,bamfiles16,bamfiles16_filetype,bamfiles17,bamfiles17_filetype,bamfiles18,bamfiles18_filetype,bamfiles19,bamfiles19_filetype,bamfiles1_filetype,bamfiles2,bamfiles20,bamfiles20_filetype,bamfiles21,bamfiles21_filetype,bamfiles22,bamfiles22_filetype,bamfiles23,bamfiles23_filetype,bamfiles24,bamfiles24_filetype,bamfiles2_filetype,bamfiles3,bamfiles3_filetype,bamfiles4,bamfiles4_filetype,bamfiles5,bamfiles5_filetype,bamfiles6,bamfiles6_filetype,bamfiles7,bamfiles7_filetype,bamfiles8,bamfiles8_filetype,bamfiles9,bamfiles9_filetype,bamfiles_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,multibam_conditional|multibam_repeats_0|bamfiles,multibam_conditional|multibam_repeats_0|bamfiles_filetype,multibam_conditional|multibam_repeats_1|bamfiles,multibam_conditional|multibam_repeats_1|bamfiles_filetype,multibam_conditional|multibam_repeats_2|bamfiles,multibam_conditional|multibam_repeats_2|bamfiles_filetype,multibam_conditional|multibam_repeats_3|bamfiles,multibam_conditional|multibam_repeats_3|bamfiles_filetype,multibam_conditional|multibam_repeats_4|bamfiles,multibam_conditional|multibam_repeats_4|bamfiles_filetype,multibam_conditional|multibam_repeats_5|bamfiles,multibam_conditional|multibam_repeats_5|bamfiles_filetype,multibam_conditional|multibam_repeats_6|bamfiles,multibam_conditional|multibam_repeats_6|bamfiles_filetype,multibam_conditional|multibam_repeats_7|bamfiles,multibam_conditional|multibam_repeats_7|bamfiles_filetype,multibam_conditional|multibam_repeats_8|bamfiles,multibam_conditional|multibam_repeats_8|bamfiles_filetype,multibam_conditional|multibam_repeats_9|bamfiles,multibam_conditional|multibam_repeats_9|bamfiles_filetype,object_store_id,param_filename,parameters.JSDsample|__identifier__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.numberOfSamples,parameters.advancedOpt.plotTitle,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipZeros,parameters.bamfiles,parameters.bamfiles1|__identifier__,parameters.bamfiles2|__identifier__,parameters.bamfiles|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.multibam_conditional.__current_case__,parameters.multibam_conditional.bamfiles.values,parameters.multibam_conditional.multibam_repeats,parameters.multibam_conditional.orderMatters,parameters.multibam_conditional|multibam_repeats_0|bamfiles|__identifier__,parameters.multibam_conditional|multibam_repeats_1|bamfiles|__identifier__,parameters.output.JSDsample.values,parameters.output.__current_case__,parameters.output.outFileFormat,parameters.output.saveQualityMetrics,parameters.output.saveRawCounts,parameters.output.showOutputSettings,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,17075971.0,17075971.0,,,,,,,,,,,,,,,,,,,,,bam,26438176.0,,,,,,,,,,,bam,19081427.0,bam,173206626.0,bam,139282090.0,bam,28563303.0,bam,165350832.0,bam,162194879.0,bam,,,bam,,,,,,,2017-04-03 20:15:40.408526,reserved_multi,1491252212.0,0,,4.0,main_w3_handler2,3057702,15475844,False,,9604722.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,"[{'src': 'hda', 'id': 29051425}, {'src': 'hda', 'id': 29051426}, {'src': 'hda', 'id': 29051427}, {'src': 'hda', 'id': 29051428}, {'src': 'hda', 'id': 29051429}, {'src': 'hda', 'id': 29051430}, {'src': 'hda', 'id': 29051431}, {'src': 'hda', 'id': 29051432}]",,No,,,,0,,,,no,"""""",32.0,,35746799.0,1491251682.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-03 20:43:33.597587,621,530.0
,,162194679.0,162194679.0,,,,,,,,,,,,,,,,,,,,,bam,139281889.0,,,,,,,,,,,bam,165350631.0,bam,28563095.0,bam,26437968.0,bam,17075759.0,bam,173206411.0,bam,19081204.0,bam,,,bam,,,,,,,2017-04-03 21:07:24.897280,reserved_multi,1491255940.0,0,,4.0,main_w3_handler2,3049269,15476296,False,,9605311.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,"[{'src': 'hdca', 'id': 50945}]",,No,,,,0,,,,no,"""""",32.0,,35746799.0,1491255442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-03 21:45:42.031431,621,498.0
,,1477686369.0,1477686369.0,,,,,,,,,,,,,,,,,,,,,bam,573957700.0,,,,,,,,,,,bam,387142405.0,bam,1514272682.0,bam,294973848.0,bam,375544523.0,bam,1072421174.0,bam,873726496.0,bam,,,bam,,,,,,,2017-04-04 03:11:08.523759,reserved_multi,1491286674.0,0,,4.0,main_w4_handler2,3058129,15478269,False,,9607912.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",0,"[{'src': 'hdca', 'id': 51739}]",,No,,,,0,,,,no,"""""",32.0,,36046187.0,1491286442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-04 06:17:55.798530,621,232.0
,,51109535.0,51109535.0,,,,,,,,,,,,,,,,,,,,,bam,24971705.0,,,,,,,,,,,bam,165222020.0,bam,206083895.0,bam,,,,,,,,,,,bam,,,,,,,2017-04-04 04:31:24.641632,reserved_multi,1491287016.0,0,,4.0,main_w4_handler2,3058234,15478726,False,,9607689.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",0,"[{'src': 'hdca', 'id': 51761}]",,No,,,,0,,,,no,"""""",32.0,,36046187.0,1491283447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-04 06:23:37.674241,621,3569.0
,,2891408394.0,2891408394.0,,,,,,,,,,,,,,,,,,,,,bam,4434313241.0,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,24025.0,len,2017-06-03 05:16:39.465685,slurm_multi,1496470299.0,0,,6.0,main_w4_handler2,2233547,16003988,False,,10097991,slurm,,132111800.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/main/files/012/575/dataset_12575329.dat""","""?""",0,"[{'src': 'hda', 'id': 29785522}, {'src': 'hda', 'id': 29785523}]",,No,,,,0,,,,no,"""chr21:4316158:5085787""",32.0,,38237164.0,1496467671.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-06-03 06:11:40.926309,60757,2628.0
,,5805176238.0,5805176238.0,,,,,,,,,,,,,,,,,,,,,bam,5111759105.0,,,,,,,,,,,bam,6360979439.0,bam,599706300.0,bam,6215096619.0,bam,1088253161.0,bam,907409415.0,bam,532016870.0,bam,,,bam,,,,,,,2017-04-04 21:01:05.300731,reserved_multi,1491354482.0,0,,4.0,main_w4_handler2,3059008,15488244,False,,9617852.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,"[{'src': 'hdca', 'id': 51887}]",,No,,,,0,,,,no,"""""",32.0,,35746799.0,1491354163.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-05 01:08:04.488027,621,319.0
,,7604816405.0,7604816405.0,,,,,,,,,,,,,,,,,,,,,bam,6938534225.0,,,,,,,,,,,bam,8031431621.0,bam,829112121.0,bam,8034048674.0,bam,1436100535.0,bam,1186587261.0,bam,766258292.0,bam,,,bam,,,,,,,2017-04-05 01:41:36.568526,reserved_multi,1491358643.0,0,,4.0,main_w4_handler2,3059008,15490035,False,,9618189.roundup,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",0,"[{'src': 'hdca', 'id': 51884}]",,No,,,,0,,,,no,"""""",32.0,,36046187.0,1491358221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-05 02:17:25.382915,621,422.0
,,223339.0,223339.0,,,,,,,,,,,,,,,,,,,,,bam,109783.0,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,2017-06-04 16:23:31.170214,slurm_multi,1496593528.0,0,,6.0,main_w4_handler2,2664481,16009794,False,,10102964,slurm,,132111800.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29882145}, {'src': 'hda', 'id': 29882343}]",,No,,,,0,,,,no,"""""",32.0,,38426204.0,1496593506.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-06-04 16:25:29.504453,49545,22.0
2721619750.0,bam,2721619750.0,2721619750.0,,,,,,,,,,,,,,,,,,,,,bam,3464437625.0,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,2017-04-05 13:34:57.321587,slurm_multi,1491402295.0,0,,6.0,main_w3_handler2,3054062,15494669,False,,9622594,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,,,,,,,,,,,,,,,,,,,,,,"""/galaxy-repl/main/files/017/914/dataset_17914164.dat""","""PbANKA_v29""",0,"[{'src': 'hda', 'id': 29009256}, {'src': 'hda', 'id': 29009258}]",,No,,,"[{'src': 'hda', 'id': 29009256}]",1,png,false,false,yes,"""""",32.0,,37124349.0,1491401202.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-04-05 14:24:57.405947,90526,1093.0
,,223339.0,223339.0,,,,,,,,,,,,,,,,,,,,,bam,109783.0,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,2017-06-04 16:58:07.294211,slurm_multi,1496595708.0,0,,6.0,main_w4_handler2,2664481,16009889,False,,10103064,slurm,,132112168.0,,,,,,,,,,,,,,,,,,,,,corral-repl,,,0,no,,,0.0,,,,,,,,,,,,,,,no,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,"[{'src': 'hda', 'id': 29882145}, {'src': 'hda', 'id': 29882343}]",,No,,,,0,,,,no,"""""",32.0,,38426204.0,1496595681.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_fingerprint/deeptools_plot_fingerprint/2.5.0.0,2.5.0.0,,2017-06-04 17:01:50.001026,49545,27.0
