bed_input,bed_input_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_vs_interval.__current_case__,parameters.bed_vs_interval.bed_input,parameters.bed_vs_interval.bed_vs_interval_selector,parameters.bed_vs_interval.int_input,parameters.chromInfo,parameters.dbkey,parameters.invert,parameters.vcf_input,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
14589.0,bed,2015-03-19 14:03:23.292975,rodeo_normal,1426774353.0,0,1.0,main_w2_handler0,2239819,8988256,False,,3241412.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886056,32.0,,21478906,1426774233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:12:36.948840,53715.0,984300856,vcf,120.0
170786.0,bed,2015-05-04 21:48:10.354262,slurm_normal,1430776132.0,0,1.0,main_w2_handler1,2278081,9391052,False,,3723722.roundup,slurm,,132112168.0,corral-repl,,,0,19564638.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",19564631,32.0,,22863245,1430776110.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-05-04 21:48:54.962810,62652.0,235936096,vcf,22.0
1813408.0,bed,2015-03-16 22:22:50.540389,rodeo_normal,1426544583.0,0,1.0,main_w1_handler0,2210200,8961497,False,,3191004.roundup,slurm,,132112168.0,corral-repl,,,0,18875950.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18875930,32.0,,21311320,1426544579.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-16 22:23:05.618095,,1419173,vcf,4.0
,,2015-03-17 13:56:03.242489,rodeo_normal,1426600578.0,0,1.0,main_w1_handler1,2147696,8966847,False,,3201435.roundup,slurm,,132112168.0,corral-repl,,,1,,interval,chr17,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18882833,32.0,,21855402,1426600573.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-17 13:56:21.630208,57413.0,4144514,vcf,5.0
,,2015-03-17 13:55:42.983292,rodeo_normal,1426600559.0,0,1.0,main_w2_handler1,2147696,8966842,False,,3201423.roundup,slurm,,132112168.0,corral-repl,,,1,,interval,chr13,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18882833,32.0,,21855402,1426600556.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-17 13:56:01.372127,57413.0,4144514,vcf,3.0
373344140.0,bed,2015-03-22 22:03:54.057150,rodeo_normal,1427061878.0,0,1.0,main_w1_handler0,2104786,9009236,False,,3280094.roundup,slurm,,132112168.0,corral-repl,,,0,18840789.0,bed,,"""/galaxy-repl/main/files/010/664/dataset_10664688.dat""","""SapurV1A_and_cp""","""False""",18842494,32.0,,21886039,1427061848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-22 22:04:39.722470,52881.0,359263002,vcf,30.0
14589.0,bed,2015-03-19 14:03:20.121770,rodeo_normal,1426773957.0,0,1.0,main_w1_handler0,2239819,8988251,False,,3241303.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884752,32.0,,21478906,1426773811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:06:01.872762,53715.0,969627305,vcf,146.0
14589.0,bed,2015-03-19 14:03:24.328119,rodeo_normal,1426774093.0,0,1.0,main_w1_handler1,2239819,8988259,False,,3241353.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886246,32.0,,21478906,1426773961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:08:15.358227,53715.0,944540541,vcf,132.0
14589.0,bed,2015-03-19 13:50:16.176771,rodeo_normal,1426773211.0,0,1.0,main_w1_handler0,2239819,8988153,False,,3241139.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884236,32.0,,21478906,1426773029.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 13:53:33.703615,53715.0,999333461,vcf,182.0
14589.0,bed,2015-03-19 14:03:19.213535,rodeo_normal,1426774012.0,0,1.0,main_w1_handler1,2239819,8988250,False,,3241307.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884244,32.0,,21478906,1426773812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:06:56.555335,53715.0,976254934,vcf,200.0
14589.0,bed,2015-03-19 14:03:18.752372,rodeo_normal,1426773929.0,0,1.0,main_w2_handler1,2239819,8988249,False,,3241305.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18884243,32.0,,21478906,1426773811.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:05:33.104059,53715.0,964342979,vcf,118.0
14589.0,bed,2015-03-19 14:03:27.593579,rodeo_normal,1426774095.0,0,1.0,main_w1_handler0,2239819,8988264,False,,3241355.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886844,32.0,,21478906,1426773961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:08:18.443388,53715.0,973390852,vcf,134.0
14589.0,bed,2015-03-19 14:03:26.613267,rodeo_normal,1426774219.0,0,1.0,main_w2_handler1,2239819,8988263,False,,3241386.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886703,32.0,,21478906,1426774101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:10:23.684548,53715.0,936837590,vcf,118.0
14589.0,bed,2015-03-19 14:03:21.897631,rodeo_normal,1426774107.0,0,1.0,main_w2_handler1,2239819,8988253,False,,3241357.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18885607,32.0,,21478906,1426773961.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:08:29.273144,53715.0,973390852,vcf,146.0
14589.0,bed,2015-03-19 14:03:25.735051,rodeo_normal,1426774234.0,0,1.0,main_w1_handler1,2239819,8988261,False,,3241390.roundup,slurm,,132112168.0,corral-repl,,,0,18915554.0,bed,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""",18886591,32.0,,21478906,1426774113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfbedintersect/vcfbedintersect/0.0.2,0.0.2,,2015-03-19 14:10:35.453318,53715.0,943374915,vcf,121.0
