chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-07-17 14:39:13.003204,slurm_normal,1437143992.0,0.0,,1.0,main_w1_handler1,2380002,9893252,False,,5473,fasta,4182269.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20396135,,32.0,,22691653,1437143988.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-17 14:39:57.971663,1224.0,4.0
,,2015-07-17 19:29:02.277631,slurm_normal,1437161382.0,0.0,,1.0,main_w1_handler0,2380090,9897079,False,,19206998,fasta,4184804.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20402758,,32.0,,23711813,1437161377.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-17 19:29:45.711157,59623.0,5.0
,,2015-07-20 08:41:37.598227,slurm_normal,1437381722.0,0.0,,1.0,main_w1_handler0,2312071,9913404,False,,11975,fasta,4201426.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20397578,,32.0,,22906065,1437381716.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-20 08:42:04.761578,63182.0,6.0
,,2015-08-06 11:20:52.183829,slurm_normal,1438860074.0,0.0,,1.0,main_w1_handler1,2402260,10071765,False,,9944350,fasta,4349793.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20702313,,32.0,,24544807,1438860070.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-08-06 11:21:14.825003,67462.0,4.0
93397.0,len,2015-08-06 11:43:58.575870,slurm_normal,1438861460.0,0.0,,1.0,main_w1_handler0,2402260,10071866,False,,9944350,fasta,4349896.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/109/dataset_12109469.dat""","""hg19""",20702463,,32.0,,24544807,1438861455.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-08-06 11:44:23.475714,67462.0,5.0
93397.0,len,2015-08-06 11:49:11.282034,slurm_normal,1438861773.0,0.0,,1.0,main_w2_handler0,2402260,10071893,False,,51291874,fasta,4349915.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/012/109/dataset_12109583.dat""","""hg19""",20702476,,32.0,,24544807,1438861769.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-08-06 11:49:37.303713,67462.0,4.0
,,2015-07-20 17:56:30.057890,slurm_normal,1437415038.0,0.0,,1.0,main_w1_handler0,2382863,9918937,False,,374471343,fasta,4206804.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20437004,,32.0,,24053179,1437415023.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-20 17:57:20.667263,64132.0,15.0
,,2015-07-20 18:57:14.956371,slurm_normal,1437418675.0,0.0,,1.0,main_w2_handler1,2373326,9919560,False,,46884,fasta,4207415.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20359505,,32.0,,24143953,1437418671.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-20 18:57:59.279561,66160.0,4.0
34.0,len,2015-07-20 18:57:28.902451,slurm_normal,1437418740.0,0.0,,1.0,main_w2_handler0,2373326,9919567,False,,49270,fasta,4207429.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/011/905/dataset_11905991.dat""","""?""",20359503,,32.0,,24143953,1437418730.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-20 18:59:03.165253,66160.0,10.0
,,2015-07-20 20:32:01.094801,slurm_normal,1437424354.0,0.0,,1.0,main_w1_handler2,2377602,9920659,False,,374471343,fasta,4208451.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/v2.len""","""v2""",20437004,,32.0,,24053179,1437424349.0,ok,1023996.0,CONVERTER_fasta_to_len,1.0.0,,2015-07-20 20:32:36.503439,64132.0,5.0
