bigwigFile1,bigwigFile1_filetype,bigwigFile2,bigwigFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.binSize,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.plotTitle,parameters.advancedOpt.scaleFactor1,parameters.advancedOpt.scaleFactor2,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.bigwigFile1.values,parameters.bigwigFile2.values,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.comparison_select,parameters.comparison.pseudocount,parameters.dbkey,parameters.outFileFormat,parameters.region,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
22852298,bigwig,19720817,bigwig,,,,,,,24025.0,len,2017-06-03 03:25:09.846367,slurm_multi,1496460659.0,0,,6.0,main_w3_handler2,2233547,16003653,False,,10097699,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29787385}]","[{'src': 'hda', 'id': 29786598}]","""/galaxy-repl/main/files/012/575/dataset_12575329.dat""",0,log2,1.0,"""?""","""bigwig""","""""",32.0,,38237164.0,1496460364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-03 03:31:01.019940,60757,295.0
3386520,bigwig,3235789,bigwig,,,,,,,,,2017-06-03 13:09:21.229327,slurm_multi,1496508823.0,0,,6.0,main_w4_handler2,3041826,16005038,False,,10099302,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29875309}]","[{'src': 'hda', 'id': 29875308}]","""/galaxy-repl/localdata/chrom/ce10.len""",4,mean,,"""ce10""","""bedgraph""","""""",32.0,,37979547.0,1496508792.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-03 16:53:47.707696,83591,31.0
1567048,bigwig,1572484,bigwig,,,,,,,,,2017-04-04 18:57:07.124837,slurm_multi,1491333924.0,0,,6.0,main_w4_handler2,2854208,15487234,False,,9614890,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 28054840}]","[{'src': 'hda', 'id': 28054831}]","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,log2,1.0,"""sacCer3""","""bigwig""","""""",32.0,,35650320.0,1491333911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-04 19:25:31.125895,92185,13.0
281925190,bigwig,322398102,bigwig,,,,,,,,,2017-06-05 00:56:32.817439,slurm_multi,1496625194.0,0,,6.0,main_w4_handler2,3127155,16011308,False,,10104252,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29778562}]","[{'src': 'hda', 'id': 29788178}]","""/galaxy-repl/localdata/chrom/mm10.len""",0,log2,1.0,"""mm10""","""bigwig""","""""",32.0,,38197289.0,1496624408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-06-05 01:13:15.551087,90156,786.0
123306849,bigwig,102127323,bigwig,,,,,,,,,2017-04-06 04:28:50.570535,slurm_multi,1491454624.0,0,,6.0,main_w3_handler2,2563489,15502289,False,,9629590,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29088337}]","[{'src': 'hda', 'id': 29088342}]","""/galaxy-repl/localdata/chrom/mm10.len""",1,ratio,1.0,"""mm10""","""bigwig""","""""",32.0,,37130884.0,1491453942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-06 04:57:05.064195,68958,682.0
17443199,bigwig,17372839,bigwig,,,,,,,,,2017-04-06 17:41:10.251958,slurm_multi,1491501734.0,0,,6.0,main_w4_handler2,478953,15510259,False,,9637286,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29103666}]","[{'src': 'hda', 'id': 29103668}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bigwig""","""""",32.0,,37156932.0,1491501664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-06 18:02:16.043872,8314,70.0
9220239,bigwig,9172012,bigwig,,,,,,,,,2017-04-06 19:02:00.199032,slurm_multi,1491507093.0,0,,6.0,main_w4_handler2,478953,15510901,False,,9637957,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29104648}]","[{'src': 'hda', 'id': 29104649}]","""/galaxy-repl/localdata/chrom/?.len""",0,log2,1.0,"""?""","""bigwig""","""""",32.0,,37156932.0,1491507027.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-06 19:31:55.008570,8314,66.0
136005771,bigwig,137664832,bigwig,,,,,,,,,2017-04-08 07:47:38.788089,slurm_multi,1491640353.0,0,,6.0,main_w3_handler2,3003715,15529200,False,,9656018,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,no,,"[{'src': 'hda', 'id': 29114638}]","[{'src': 'hda', 'id': 29114637}]","""/galaxy-repl/localdata/chrom/hg19.len""",0,log2,1.0,"""hg19""","""bigwig""","""""",32.0,,37132333.0,1491639481.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 08:32:34.352249,100565,872.0
237566298,bigwig,215459027,bigwig,,,,,,,,,2017-04-08 18:49:31.874566,slurm_multi,1491680457.0,0,,6.0,main_w3_handler2,3064466,15531014,False,,9657611,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29133980}]","[{'src': 'hda', 'id': 29133977}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491679600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 19:40:58.549714,93861,857.0
170870334,bigwig,165332711,bigwig,,,,,,,,,2017-04-08 18:47:53.584877,slurm_multi,1491679434.0,0,,6.0,main_w4_handler2,3064466,15531011,False,,9657561,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,"[{'src': 'hda', 'id': 29133965}]","[{'src': 'hda', 'id': 29133972}]","""/galaxy-repl/localdata/chrom/hg19.len""",2,subtract,,"""hg19""","""bigwig""","""""",32.0,,36822972.0,1491678571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bigwig_compare/deeptools_bigwig_compare/2.5.0.0,2.5.0.0,,2017-04-08 19:23:55.050671,93861,863.0
