bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data.values,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2360484,bed,,,2016-10-12 10:51:00.995177,slurm_normal,1476269519.0,0,,1.0,main_w4_handler0,2850634,14063012,False,,126099195,vcf,8279609.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b513e23b5f98a1b077'}]","""/galaxy-repl/localdata/chrom/TRAC.len""","""TRAC""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54ce627dbc58fea36'}]",,"""BED-features""",32.0,,33597037.0,1476269470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-12 10:52:00.741801,91998.0,49.0
2068940,bed,,,2017-04-07 09:39:45.797148,slurm_normal,1491558013.0,0,,1.0,main_w3_handler0,2648961,15517116,False,,59425563,vcf,9643830.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 29112460}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29111747}]",,"""BED-features""",32.0,,36167677.0,1491557990.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2017-04-07 09:40:14.319297,17244.0,23.0
2360484,bed,,,2016-10-12 21:27:40.832132,slurm_normal,1476307701.0,0,,1.0,main_w3_handler1,2829672,14067344,False,,58903820,vcf,8284472.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5edce9e531130fdcd'}]","""/galaxy-repl/main/files/017/331/dataset_17331942.dat""","""VfTRACd2""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54de8ede5758144ae'}]",,"""BED-features""",32.0,,33624124.0,1476307675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-12 21:28:22.589822,90806.0,26.0
339,bed,,,2016-10-13 03:16:38.282917,slurm_normal,1476328633.0,0,,1.0,main_w4_handler0,2852502,14069523,False,,199514,vcf,8286609.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5979cc703eeecb915'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce49806b08e6b235'}]",,"""BED-features""",32.0,,33346758.0,1476328629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-13 03:17:14.908092,91306.0,4.0
339,bed,,,2016-10-13 03:16:39.297007,slurm_normal,1476328634.0,0,,1.0,main_w3_handler1,2852502,14069525,False,,191665,vcf,8286608.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5979cc703eeecb915'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dea9984424bc42b6'}]",,"""BED-features""",32.0,,33346758.0,1476328629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-13 03:17:18.258722,91306.0,5.0
339,bed,,,2016-10-13 03:16:38.806670,slurm_normal,1476328634.0,0,,1.0,main_w4_handler0,2852502,14069524,False,,167968,vcf,8286610.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5979cc703eeecb915'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b558ba30cc17e3790b'}]",,"""BED-features""",32.0,,33346758.0,1476328629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-13 03:17:17.108603,91306.0,5.0
247216251,bed,,,2016-10-14 14:46:57.326027,slurm_normal,1476456471.0,0,,1.0,main_w4_handler1,2843213,14082658,False,,616739,vcf,8299023.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5df80b78618c8a3c5'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd1986b56b6cb5a3'}]",,"""BED-features""",32.0,,33389435.0,1476456451.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-14 14:47:54.669759,61346.0,20.0
49664450,bed,,,2016-10-14 11:09:46.013164,slurm_normal,1476443427.0,0,,1.0,main_w4_handler1,2854721,14081189,False,,11257,vcf,8297626.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f38c95444afe899f'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b59a15b0583b0a265d'}]",,"""BED-features""",32.0,,33565154.0,1476443421.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-14 11:10:33.567671,90948.0,6.0
186505055,bed,,,2016-10-14 15:22:31.011542,slurm_normal,1476458585.0,0,,1.0,main_w4_handler1,2843213,14082887,False,,616739,vcf,8299667.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5249adf357e4679b0'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd1986b56b6cb5a3'}]",,"""BED-features""",32.0,,33389435.0,1476458568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-14 15:23:09.723857,61346.0,17.0
200134489,bed,,,2016-10-14 15:22:30.685597,slurm_normal,1476458587.0,0,,1.0,main_w3_handler1,2843213,14082886,False,,616739,vcf,8299666.roundup,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c7487deef84c1aad'}]","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd1986b56b6cb5a3'}]",,"""BED-features""",32.0,,33389435.0,1476458568.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotate/vcfannotate/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-14 15:23:08.681056,61346.0,19.0
