bamInput,bamInput_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.Offset,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
5472344,bam,,,,,,,,,2017-06-18 13:23:27.701532,slurm_multi,1497894273.0,0,6.0,main_w3_handler2,3024097,16125623,False,,10214148,slurm,,132112168.0,corral-repl,,0,no,,"""4e0fab40542911e7b16a005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30068917}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1497894264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-19 17:44:34.870248,54234,9.0
26933598,bam,,,,,,,,,2017-06-21 07:15:18.684247,slurm_multi,1498032688.0,0,6.0,main_w3_handler2,3161302,16150943,False,,10230057,slurm,,132112168.0,corral-repl,,0,no,,"""59b380e6565111e78bc1005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30107224}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498032680.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-21 08:11:29.280170,54234,8.0
26933598,bam,,,,,,,,,2017-06-21 07:58:28.546966,slurm_multi,1498033731.0,0,6.0,main_w4_handler2,3161302,16151233,False,,10230141,slurm,,132111800.0,corral-repl,,0,no,,,,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30107224}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,38393620.0,1498033723.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-21 08:28:53.314158,54234,8.0
15140041,bam,,,,,,,,,2017-06-21 08:41:57.510007,slurm_multi,1498037609.0,0,6.0,main_w4_handler2,3166297,16151469,False,,10230491,slurm,,132112168.0,corral-repl,,0,no,,"""79dacf94565d11e7bdbd005056a52a46""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30107949}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498037598.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-21 09:33:30.223573,54234,11.0
4309280,bam,,,,,,,,,2017-06-21 20:55:46.754809,slurm_multi,1498080730.0,0,6.0,main_w3_handler2,3167174,16157261,False,,10235766,slurm,,132111800.0,corral-repl,,0,no,,"""fcb2503456c311e79196005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30117197}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498080722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-21 21:32:12.338245,54234,8.0
8352868,bam,,,,,,,,,2017-06-21 22:37:07.028620,slurm_multi,1498087668.0,0,6.0,main_w4_handler2,3167187,16157961,False,,10236527,slurm,,132111800.0,corral-repl,,0,no,,"""2467c63c56d211e7a768005056a52a46""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30118051}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498087656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-21 23:27:49.133226,54234,12.0
8344936,bam,,,,,,,,,2017-06-22 07:32:29.955328,slurm_multi,1498120686.0,0,6.0,main_w3_handler2,3167187,16161195,False,,10239504,slurm,,132112168.0,corral-repl,,0,no,,"""e9e4f17e571c11e7a3f4005056a52a46""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30122243}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498120676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-22 08:38:10.789778,54234,10.0
12532477,bam,,,,,,,,,2017-06-22 10:46:08.547976,slurm_multi,1498132548.0,0,6.0,main_w3_handler2,3167187,16162927,False,,10241099,slurm,,132112168.0,corral-repl,,0,no,,"""fad4db46573711e78924005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30125100}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498132540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-22 11:55:50.414916,54234,8.0
10881464,bam,,,,,,,,,2017-06-24 08:30:33.861504,slurm_multi,1498293253.0,0,6.0,main_w4_handler2,2917717,16173880,False,,10250648,slurm,,132111800.0,corral-repl,,0,no,,"""611fe3b658b711e78dda005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30140569}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498293243.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-24 08:34:14.499473,54234,10.0
13176447,bam,,,,,,,,,2017-06-24 07:48:00.617711,slurm_multi,1498290732.0,0,6.0,main_w3_handler2,3167187,16173780,False,,10250556,slurm,,132111800.0,corral-repl,,0,no,,"""6fb641d258b111e7941f005056a51846""",,,0.0,,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 30140438}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",1,,,,,no,32.0,,,1498290725.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.3.6.0,2.3.6.0,,2017-06-24 07:52:13.862162,54234,7.0
