create_time,destination_id,exit_code,gene_annotation_model,gene_annotation_model_filetype,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model,parameters.params.own_junctions.gene_model_ann.gene_annotation_model.values,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.raw_juncs,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.rgid,parameters.readGroup.rglb,parameters.readGroup.rgpl,parameters.readGroup.rgsm,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.index.__class__,parameters.refGenomeSource.index.value,parameters.refGenomeSource.ownFile,parameters.refGenomeSource.ownFile.values,parameters.singlePaired.__current_case__,parameters.singlePaired.input1,parameters.singlePaired.input1.values,parameters.singlePaired.input2,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,params|own_junctions|gene_annotation_model,params|own_junctions|gene_annotation_model_filetype,raw_juncs,raw_juncs_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-16 14:47:42.719375,roundup_multi,,,,main_w2_handler2,2232863,8958081,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10481481750,fastqsanger,10481481750.0,fastqsanger,3183797,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,5,0.0,No,,,,No,0.0,20000,50,Yes,0.0,,No,,,,,,0.0,No,,,fr-unstranded,500000,10,500000,No,50,50,0.0,0.0,,,No,No,1.0,18833632.0,Yes,Yes,2,2,0,25,2,full,0,1,,,,,no,0,indexed,mm9,,,,,1,18835345.0,,18835346.0,,280,20,No,paired,,,7996842.0,bed,,21691228,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-18 02:48:28.684475,53985,129645.9651
2015-03-16 14:51:13.512180,roundup_multi,,,,main_w2_handler2,2232863,8958133,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10481481750,fastqsanger,10481481750.0,fastqsanger,3183875,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,5,0.0,No,,,,No,0.0,20000,50,Yes,0.0,,No,,,,,,0.0,No,,,fr-unstranded,500000,10,500000,No,50,50,0.0,0.0,,,No,No,1.0,18833632.0,Yes,Yes,2,2,1000,25,2,full,0,1,,,,,no,0,indexed,mm9,,,,,1,18835345.0,,18835346.0,,280,20,No,paired,,,7996842.0,bed,,21691228,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-18 02:51:56.825433,53985,129643.31325300001
2015-03-13 13:49:19.177413,roundup_multi,,,,main_w2_handler2,2229587,8942627,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",325231118,fastqsanger,,,3192168,slurm,,corral-repl,479147230.0,fasta,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,Yes,1.0,,,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,,,,,,,,,No,2,2,0,25,2,full,0,1,,,,,no,1,history,,,,18849291.0,,0,18758846.0,,,,,,,single,,,,,,21695846,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-18 11:56:28.915738,57637,425229.73832500004
2015-03-18 22:50:36.764748,roundup_multi,,,,main_w2_handler2,2232863,8982815,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",16988388843,fastqsanger,16988388843.0,fastqsanger,3230463,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,5,0.0,No,,,,No,0.0,20000,50,Yes,0.0,,No,,,,,,0.0,No,,,fr-unstranded,500000,10,500000,No,50,50,0.0,0.0,,,No,No,1.0,18833632.0,Yes,Yes,2,2,1000,25,2,full,0,1,,,,,no,0,indexed,mm9,,,,,1,18804466.0,,18804467.0,,20,20,No,paired,,,7996842.0,bed,,21691228,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-20 11:01:38.730200,53985,130261.965452
2015-03-18 22:47:33.718837,roundup_multi,,,,main_w2_handler2,2232863,8982794,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",10481481750,fastqsanger,10481481750.0,fastqsanger,3230419,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,5,0.0,No,,,,No,0.0,20000,50,Yes,0.0,,No,,,,,,0.0,No,,,fr-unstranded,500000,10,500000,No,50,50,0.0,0.0,,,No,No,1.0,18833632.0,Yes,Yes,2,2,1000,25,2,full,0,1,,,,,no,0,indexed,mm9,,,,,1,18835345.0,,18835346.0,,20,20,No,paired,,,7996842.0,bed,,21691228,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-20 10:53:07.921994,53985,129934.20315700001
2015-03-22 09:09:40.657738,roundup_multi,,,,main_w2_handler2,2001319,9005764,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",48838189141,fastqsanger,48838189141.0,fastqsanger,3274453,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,hg19,,,,,1,18947193.0,,18943879.0,,300,20,Yes,paired,,,,,,21914270,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-23 21:10:17.632339,51767,129636.97460100001
2015-03-13 13:50:08.524360,roundup_multi,,,,main_w2_handler2,2229587,8942636,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",200034840,fastqsanger,,,3252600,slurm,,corral-repl,479147230.0,fasta,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,Yes,1.0,,,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,,,,,,,,,No,2,2,0,25,2,full,0,1,,,,,no,1,history,,,,18849291.0,,0,18758898.0,,,,,,,single,,,,,,21695846,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-21 20:15:11.997517,57637,714303.473157
2015-03-20 13:38:48.040996,roundup_multi,,,,main_w2_handler2,2236041,8996131,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",7468127790,fastqsanger,,,3255921,slurm,,corral-repl,,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,mm10,,,,,0,18842654.0,,,,,,,single,,,,,,21519158,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-03-22 01:39:11.969460,60378,129623.92846400001
2015-04-16 15:59:44.920393,slurm_multi,,,,main_w2_handler2,2271429,9247707,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15556042099,fastqsanger,15968902051.0,fastqsanger,3529921,slurm,,corral-repl,,,,,,,"""93a65acce45111e4be31005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,,UnvalidatedValue,hg19,,,1,19301198.0,,19301200.0,,110,20,Yes,paired,,,,,,22391235,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-04-18 04:00:19.902106,62111,129634.981713
2015-04-19 05:07:25.793282,slurm_multi,,,,main_w2_handler2,2274771,9265161,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",15556042099,fastqsanger,15968902051.0,fastqsanger,3555822,slurm,,corral-repl,,,,,,,"""f6f4abb8e65111e496b8005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,,UnvalidatedValue,hg19,,,1,19356150.0,,19356151.0,,110,20,Yes,paired,,,,,,22391235,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-04-21 02:04:16.894572,62111,161811.10129000002
2015-12-01 21:15:17.699645,slurm_multi_dynamic_walltime,,,,main_w2_handler2,2525013,11057788,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8201155212,fastqsanger,,,5314408,slurm,,corral-repl,,,,0.0,no,,"""9b4c7eae987011e5a3ad005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,,,,,no,0,indexed,papHam1,,,,,0,22242961.0,,,,,,,single,,,,,,26111796,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2015-12-03 18:00:36.748524,52306,161119.048879
2016-03-14 09:06:23.729901,slurm_multi_development,,135909791.0,gtf,main_w2_handler2,2218623,12125552,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1645198025,fastqsanger,1645198025.0,fastqsanger,6346133.roundup,slurm,,corral-repl,3157608038.0,fasta,,1.0,yes,slurm_multi_development,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,8,1.0,Yes,0.0,Yes,very-fast,No,1.0,,,No,0.0,,No,,,,,,0.0,No,,,fr-firststrand,500000,20,500000,No,70,50,0.0,1.0,18658008.0,,Yes,Yes,0.0,,No,Yes,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,18658009.0,,1,23796289.0,,23796290.0,,140,50,Yes,paired,,,,,,28973879,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2016-03-14 09:36:56.841309,50447,1833.1114080000002
2016-03-14 09:06:46.862521,slurm_multi_development,,135909791.0,gtf,main_w2_handler2,2218623,12125555,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3771635676,fastqsanger,3771635676.0,fastqsanger,6346318.roundup,slurm,,corral-repl,3157608038.0,fasta,,1.0,yes,pulsar_stampede_development,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,8,1.0,Yes,0.0,Yes,very-fast,No,1.0,,,No,0.0,,No,,,,,,0.0,No,,,fr-firststrand,500000,20,500000,No,70,50,0.0,1.0,18658008.0,,Yes,Yes,0.0,,No,Yes,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,18658009.0,,1,23798840.0,,23798841.0,,140,50,Yes,paired,,,,,,28973879,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2016-03-14 10:07:24.877921,50447,3638.0154
2016-03-14 09:14:27.863423,slurm_multi_development,,92441739.0,gtf,main_w2_handler2,2218623,12125646,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3220228328,fastqsanger,3220228328.0,fastqsanger,6346584.roundup,slurm,,corral-repl,2780048573.0,fasta,,1.0,yes,pulsar_stampede_development,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,8,1.0,Yes,0.0,Yes,very-fast,No,1.0,,,No,0.0,,No,,,,,,0.0,No,,,fr-firststrand,500000,20,500000,No,70,50,0.0,1.0,18740018.0,,Yes,Yes,0.0,,No,Yes,2,2,1000,25,2,full,0,1,,,,,no,1,history,,,,18740130.0,,1,23796325.0,,23796326.0,,140,50,Yes,paired,,,,,,28973879,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2016-03-14 10:37:55.555935,50447,5007.6925120000005
2016-06-29 14:49:19.490851,slurm_multi_dynamic_walltime,,,,main_w1_handler2,2717917,13287863,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",5843884989,fastqsanger,5843884989.0,fastqsanger,7485416,slurm,,corral-repl,47406812318.0,fasta,,0.0,no,,"""a6e47b5c3e0811e6bbbd005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,0.0,20000,50,Yes,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,0.0,1.0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b523923f9f082a45b7'}]",Yes,No,0.0,,No,Yes,2,2,0,25,2,full,0,1,,,,,no,1,history,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5229f394d10816121'}]",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5710625225c72e434'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b553517653424dd664'}]",-40,10,Yes,paired,1402361916.0,gtf,,,,30799006,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2016-07-01 07:07:44.081428,85087,145104.590577
